EventID,EstudianteID,ActividadID,Timestamp,DestinoID,Detalle,Actor
39,3,15,2023-07-29 00:00:00,130,,Estudiante
40,3,16,2023-08-26 00:00:00,130,,Administración
41,3,17,2023-09-18 00:00:00,130,,Estudiante
42,3,18,2023-10-14 00:00:00,130,,Administración
43,4,1,2023-01-27 00:00:00,275,,Estudiante
44,4,2,2023-01-30 00:00:00,275,,Estudiante
45,4,3,2023-02-06 00:00:00,275,,Administración
46,4,4,2023-02-18 00:00:00,275,,Administración
47,4,5,2023-02-26 00:00:00,275,Adjudicación a destino Erasmus,Administración
48,4,6,2023-03-12 00:00:00,275,Adjudicación a destino Erasmus,Administración
49,4,7,2023-03-31 00:00:00,275,,Estudiante
50,4,9,2023-04-12 00:00:00,275,Renuncia voluntaria,Estudiante
51,4,11,2023-05-01 00:00:00,275,,Administración
52,4,12,2023-05-14 00:00:00,275,Adjudicación a destino Erasmus,Administración
53,4,7,2023-05-24 00:00:00,275,,Estudiante
54,4,8,2023-06-10 00:00:00,275,,Estudiante
55,4,15,2023-06-30 00:00:00,275,,Estudiante
56,4,16,2023-07-24 00:00:00,275,,Administración
57,4,17,2023-08-16 00:00:00,275,,Estudiante
58,4,18,2023-09-05 00:00:00,275,,Administración
59,5,1,2023-01-28 00:00:00,111,,Estudiante
60,5,2,2023-02-04 00:00:00,111,,Estudiante
61,5,3,2023-02-08 00:00:00,111,,Administración
62,5,4,2023-02-18 00:00:00,111,,Administración
63,5,5,2023-02-25 00:00:00,111,Adjudicación a destino Erasmus,Administración
64,5,6,2023-03-16 00:00:00,111,Adjudicación a destino Erasmus,Administración
65,5,9,2023-03-28 00:00:00,111,Renuncia voluntaria,Estudiante
66,6,1,2023-01-23 00:00:00,112,,Estudiante
67,6,2,2023-01-26 00:00:00,112,,Estudiante
68,6,3,2023-02-01 00:00:00,112,,Administración
69,6,4,2023-02-16 00:00:00,112,,Administración
70,6,5,2023-02-26 00:00:00,112,Adjudicación a destino Erasmus,Administración
71,6,6,2023-03-16 00:00:00,112,Adjudicación a destino Erasmus,Administración
72,6,13,2023-03-29 00:00:00,112,Alegación sobre adjudicación,Estudiante
73,6,14,2023-04-10 00:00:00,112,Alegación sobre adjudicación,Administración
74,6,7,2023-04-27 00:00:00,112,,Estudiante
75,6,8,2023-05-08 00:00:00,112,,Estudiante
76,6,17,2023-06-06 00:00:00,112,,Estudiante
77,6,18,2023-07-05 00:00:00,112,,Administración
78,7,1,2023-02-03 00:00:00,28,,Estudiante
79,7,2,2023-02-08 00:00:00,28,,Estudiante
80,7,3,2023-02-14 00:00:00,28,,Administración
81,7,4,2023-02-26 00:00:00,28,,Administración
82,7,5,2023-03-05 00:00:00,28,Adjudicación a destino Erasmus,Administración
83,7,6,2023-03-20 00:00:00,28,Adjudicación a destino Erasmus,Administración
84,7,7,2023-04-08 00:00:00,28,,Estudiante
85,7,8,2023-04-25 00:00:00,28,,Estudiante
86,7,17,2023-05-22 00:00:00,28,,Estudiante
87,7,18,2023-06-19 00:00:00,28,,Administración
88,8,1,2023-02-07 00:00:00,280,,Estudiante
89,8,2,2023-02-14 00:00:00,280,,Estudiante
90,8,3,2023-02-21 00:00:00,280,,Administración
91,8,4,2023-03-08 00:00:00,280,,Administración
92,8,5,2023-03-15 00:00:00,280,Adjudicación a destino Erasmus,Administración
93,8,6,2023-03-31 00:00:00,280,Adjudicación a destino Erasmus,Administración
94,8,7,2023-04-17 00:00:00,280,,Estudiante
95,8,8,2023-04-30 00:00:00,280,,Estudiante
96,8,15,2023-05-23 00:00:00,280,,Estudiante
97,8,16,2023-06-20 00:00:00,280,,Administración
98,8,9,2023-07-01 00:00:00,280,Renuncia voluntaria,Estudiante
99,8,10,2023-07-21 00:00:00,280,Renuncia voluntaria,Estudiante
100,9,1,2023-01-18 00:00:00,272,,Estudiante
101,9,2,2023-01-25 00:00:00,272,,Estudiante
102,9,3,2023-01-30 00:00:00,272,,Administración
103,9,4,2023-02-10 00:00:00,272,,Administración
104,9,5,2023-02-20 00:00:00,272,Adjudicación a destino Erasmus,Administración
105,9,6,2023-03-04 00:00:00,272,Adjudicación a destino Erasmus,Administración
106,9,13,2023-03-14 00:00:00,272,Alegación sobre adjudicación,Estudiante
107,9,14,2023-03-24 00:00:00,272,Alegación sobre adjudicación,Administración
108,9,15,2023-04-22 00:00:00,272,,Estudiante
109,9,16,2023-05-14 00:00:00,272,,Administración
110,9,7,2023-05-29 00:00:00,272,,Estudiante
111,9,8,2023-06-16 00:00:00,272,,Estudiante
112,9,17,2023-07-13 00:00:00,272,,Estudiante
113,9,18,2023-08-09 00:00:00,272,,Administración
114,10,1,2023-01-17 00:00:00,38,,Estudiante
115,10,2,2023-01-23 00:00:00,38,,Estudiante
116,10,3,2023-01-27 00:00:00,38,,Administración
117,10,4,2023-02-10 00:00:00,38,,Administración
118,10,5,2023-02-22 00:00:00,38,Adjudicación a destino Erasmus,Administración
119,10,6,2023-03-05 00:00:00,38,Adjudicación a destino Erasmus,Administración
120,10,7,2023-03-17 00:00:00,38,,Estudiante
121,10,8,2023-03-28 00:00:00,38,,Estudiante
122,10,17,2023-04-19 00:00:00,38,,Estudiante
123,10,18,2023-05-10 00:00:00,38,,Administración
124,10,15,2023-06-09 00:00:00,38,,Estudiante
125,10,16,2023-07-04 00:00:00,38,,Administración
126,10,17,2023-07-25 00:00:00,38,,Estudiante
127,10,18,2023-08-21 00:00:00,38,,Administración
128,11,1,2023-02-01 00:00:00,274,,Estudiante
129,11,2,2023-02-06 00:00:00,274,,Estudiante
130,11,3,2023-02-10 00:00:00,274,,Administración
131,11,4,2023-02-19 00:00:00,274,,Administración
132,11,5,2023-03-06 00:00:00,274,Adjudicación a destino Erasmus,Administración
133,11,6,2023-03-21 00:00:00,274,Adjudicación a destino Erasmus,Administración
134,11,7,2023-04-04 00:00:00,274,,Estudiante
135,11,8,2023-04-15 00:00:00,274,,Estudiante
136,11,17,2023-05-11 00:00:00,274,,Estudiante
137,11,18,2023-06-08 00:00:00,274,,Administración
138,12,1,2023-01-21 00:00:00,171,,Estudiante
139,12,2,2023-01-24 00:00:00,171,,Estudiante
140,12,3,2023-01-30 00:00:00,171,,Administración
141,12,4,2023-02-13 00:00:00,171,,Administración
142,12,5,2023-02-24 00:00:00,171,Adjudicación a destino Erasmus,Administración
143,12,6,2023-03-09 00:00:00,171,Adjudicación a destino Erasmus,Administración
144,12,7,2023-03-19 00:00:00,171,,Estudiante
145,12,9,2023-03-31 00:00:00,171,Renuncia voluntaria,Estudiante
146,12,11,2023-04-11 00:00:00,171,,Administración
147,12,12,2023-04-21 00:00:00,171,Adjudicación a destino Erasmus,Administración
148,12,7,2023-05-05 00:00:00,171,,Estudiante
149,12,8,2023-05-21 00:00:00,171,,Estudiante
150,12,17,2023-06-10 00:00:00,171,,Estudiante
151,12,18,2023-07-07 00:00:00,171,,Administración
152,13,1,2023-01-18 00:00:00,17,,Estudiante
153,13,2,2023-01-24 00:00:00,17,,Estudiante
154,14,1,2023-02-01 00:00:00,250,,Estudiante
155,14,2,2023-02-05 00:00:00,250,,Estudiante
156,14,3,2023-02-09 00:00:00,250,,Administración
157,14,13,2023-02-25 00:00:00,250,Alegación sobre adjudicación,Estudiante
158,14,14,2023-03-12 00:00:00,250,Alegación sobre adjudicación,Administración
159,14,4,2023-03-21 00:00:00,250,,Administración
160,14,5,2023-03-28 00:00:00,250,Adjudicación a destino Erasmus,Administración
161,14,6,2023-04-11 00:00:00,250,Adjudicación a destino Erasmus,Administración
162,14,7,2023-04-29 00:00:00,250,,Estudiante
163,14,9,2023-05-19 00:00:00,250,Renuncia voluntaria,Estudiante
164,14,10,2023-05-30 00:00:00,250,Renuncia voluntaria,Estudiante
165,15,1,2023-02-04 00:00:00,167,,Estudiante
166,15,2,2023-02-07 00:00:00,167,,Estudiante
167,15,3,2023-02-11 00:00:00,167,,Administración
168,15,13,2023-02-25 00:00:00,167,Alegación sobre adjudicación,Estudiante
169,15,14,2023-03-16 00:00:00,167,Alegación sobre adjudicación,Administración
170,15,4,2023-03-27 00:00:00,167,,Administración
171,15,5,2023-04-10 00:00:00,167,Adjudicación a destino Erasmus,Administración
172,15,6,2023-04-21 00:00:00,167,Adjudicación a destino Erasmus,Administración
173,15,7,2023-05-06 00:00:00,167,,Estudiante
174,15,9,2023-05-22 00:00:00,167,Renuncia voluntaria,Estudiante
175,15,10,2023-06-11 00:00:00,167,Renuncia voluntaria,Estudiante
176,16,1,2023-01-27 00:00:00,149,,Estudiante
177,16,2,2023-02-02 00:00:00,149,,Estudiante
178,16,3,2023-02-06 00:00:00,149,,Administración
179,17,1,2023-01-15 00:00:00,203,,Estudiante
180,17,2,2023-01-21 00:00:00,203,,Estudiante
181,17,3,2023-01-24 00:00:00,203,,Administración
182,17,13,2023-02-07 00:00:00,203,Alegación sobre adjudicación,Estudiante
183,17,14,2023-02-24 00:00:00,203,Alegación sobre adjudicación,Administración
184,17,4,2023-03-09 00:00:00,203,,Administración
185,17,5,2023-03-22 00:00:00,203,Adjudicación a destino Erasmus,Administración
186,17,6,2023-04-08 00:00:00,203,Adjudicación a destino Erasmus,Administración
187,17,7,2023-04-28 00:00:00,203,,Estudiante
188,17,9,2023-05-15 00:00:00,203,Renuncia voluntaria,Estudiante
189,17,10,2023-06-01 00:00:00,203,Renuncia voluntaria,Estudiante
190,18,1,2023-01-20 00:00:00,178,,Estudiante
191,18,2,2023-01-25 00:00:00,178,,Estudiante
192,18,3,2023-01-29 00:00:00,178,,Administración
193,18,13,2023-02-13 00:00:00,178,Alegación sobre adjudicación,Estudiante
194,18,14,2023-02-26 00:00:00,178,Alegación sobre adjudicación,Administración
195,18,4,2023-03-10 00:00:00,178,,Administración
196,18,5,2023-03-17 00:00:00,178,Adjudicación a destino Erasmus,Administración
197,18,6,2023-04-01 00:00:00,178,Adjudicación a destino Erasmus,Administración
198,18,7,2023-04-11 00:00:00,178,,Estudiante
199,18,8,2023-04-24 00:00:00,178,,Estudiante
200,18,17,2023-05-23 00:00:00,178,,Estudiante
201,18,18,2023-06-21 00:00:00,178,,Administración
202,19,1,2023-01-21 00:00:00,200,,Estudiante
203,19,2,2023-01-25 00:00:00,200,,Estudiante
204,19,3,2023-01-28 00:00:00,200,,Administración
205,19,13,2023-02-12 00:00:00,200,Alegación sobre adjudicación,Estudiante
206,19,14,2023-02-26 00:00:00,200,Alegación sobre adjudicación,Administración
207,19,4,2023-03-11 00:00:00,200,,Administración
208,19,5,2023-03-25 00:00:00,200,Adjudicación a destino Erasmus,Administración
209,19,6,2023-04-14 00:00:00,200,Adjudicación a destino Erasmus,Administración
210,19,7,2023-04-26 00:00:00,200,,Estudiante
211,19,9,2023-05-09 00:00:00,200,Renuncia voluntaria,Estudiante
212,19,10,2023-05-26 00:00:00,200,Renuncia voluntaria,Estudiante
213,20,1,2023-01-31 00:00:00,229,,Estudiante
214,20,2,2023-02-07 00:00:00,229,,Estudiante
215,20,3,2023-02-11 00:00:00,229,,Administración
216,20,13,2023-03-03 00:00:00,229,Alegación sobre adjudicación,Estudiante
217,20,14,2023-03-13 00:00:00,229,Alegación sobre adjudicación,Administración
218,20,4,2023-03-26 00:00:00,229,,Administración
219,20,5,2023-04-10 00:00:00,229,Adjudicación a destino Erasmus,Administración
220,20,6,2023-04-23 00:00:00,229,Adjudicación a destino Erasmus,Administración
221,20,7,2023-05-06 00:00:00,229,,Estudiante
222,20,9,2023-05-24 00:00:00,229,Renuncia voluntaria,Estudiante
223,20,10,2023-06-09 00:00:00,229,Renuncia voluntaria,Estudiante
224,21,1,2023-01-16 00:00:00,155,,Estudiante
225,21,2,2023-01-20 00:00:00,155,,Estudiante
226,21,3,2023-01-24 00:00:00,155,,Administración
227,21,4,2023-02-02 00:00:00,155,,Administración
228,21,5,2023-02-14 00:00:00,155,Adjudicación a destino Erasmus,Administración
229,21,6,2023-03-05 00:00:00,155,Adjudicación a destino Erasmus,Administración
230,21,13,2023-03-24 00:00:00,155,Alegación sobre adjudicación,Estudiante
231,21,14,2023-04-10 00:00:00,155,Alegación sobre adjudicación,Administración
232,21,7,2023-04-24 00:00:00,155,,Estudiante
233,21,8,2023-05-08 00:00:00,155,,Estudiante
234,21,17,2023-06-05 00:00:00,155,,Estudiante
235,21,18,2023-06-30 00:00:00,155,,Administración
236,22,1,2023-01-30 00:00:00,178,,Estudiante
237,22,2,2023-02-06 00:00:00,178,,Estudiante
238,22,3,2023-02-12 00:00:00,178,,Administración
239,22,4,2023-02-21 00:00:00,178,,Administración
240,22,5,2023-03-01 00:00:00,178,Adjudicación a destino Erasmus,Administración
241,22,6,2023-03-18 00:00:00,178,Adjudicación a destino Erasmus,Administración
242,22,13,2023-03-28 00:00:00,178,Alegación sobre adjudicación,Estudiante
243,22,14,2023-04-11 00:00:00,178,Alegación sobre adjudicación,Administración
244,22,7,2023-04-25 00:00:00,178,,Estudiante
245,22,8,2023-05-07 00:00:00,178,,Estudiante
246,22,15,2023-06-06 00:00:00,178,,Estudiante
247,22,16,2023-07-06 00:00:00,178,,Administración
248,22,17,2023-07-27 00:00:00,178,,Estudiante
249,22,18,2023-08-20 00:00:00,178,,Administración
250,23,1,2023-02-02 00:00:00,184,,Estudiante
251,23,2,2023-02-06 00:00:00,184,,Estudiante
252,23,3,2023-02-10 00:00:00,184,,Administración
253,23,4,2023-02-17 00:00:00,184,,Administración
254,23,5,2023-02-28 00:00:00,184,Adjudicación a destino Erasmus,Administración
255,23,6,2023-03-18 00:00:00,184,Adjudicación a destino Erasmus,Administración
256,23,7,2023-04-03 00:00:00,184,,Estudiante
257,23,8,2023-04-18 00:00:00,184,,Estudiante
258,23,15,2023-05-16 00:00:00,184,,Estudiante
259,23,16,2023-06-05 00:00:00,184,,Administración
260,23,9,2023-06-16 00:00:00,184,Renuncia voluntaria,Estudiante
261,23,10,2023-06-28 00:00:00,184,Renuncia voluntaria,Estudiante
262,24,1,2023-01-25 00:00:00,152,,Estudiante
263,24,2,2023-02-01 00:00:00,152,,Estudiante
264,24,3,2023-02-04 00:00:00,152,,Administración
265,24,4,2023-02-14 00:00:00,152,,Administración
266,24,5,2023-03-01 00:00:00,152,Adjudicación a destino Erasmus,Administración
267,24,6,2023-03-20 00:00:00,152,Adjudicación a destino Erasmus,Administración
268,24,13,2023-03-31 00:00:00,152,Alegación sobre adjudicación,Estudiante
269,24,14,2023-04-10 00:00:00,152,Alegación sobre adjudicación,Administración
270,24,7,2023-04-26 00:00:00,152,,Estudiante
271,24,8,2023-05-14 00:00:00,152,,Estudiante
272,24,17,2023-06-04 00:00:00,152,,Estudiante
273,24,18,2023-06-30 00:00:00,152,,Administración
274,25,1,2023-01-30 00:00:00,136,,Estudiante
275,25,2,2023-02-05 00:00:00,136,,Estudiante
276,25,3,2023-02-12 00:00:00,136,,Administración
277,25,13,2023-02-28 00:00:00,136,Alegación sobre adjudicación,Estudiante
278,25,14,2023-03-10 00:00:00,136,Alegación sobre adjudicación,Administración
279,25,4,2023-03-20 00:00:00,136,,Administración
280,25,5,2023-04-03 00:00:00,136,Adjudicación a destino Erasmus,Administración
281,25,6,2023-04-18 00:00:00,136,Adjudicación a destino Erasmus,Administración
282,25,7,2023-05-05 00:00:00,136,,Estudiante
283,25,8,2023-05-22 00:00:00,136,,Estudiante
284,25,17,2023-06-21 00:00:00,136,,Estudiante
285,25,18,2023-07-15 00:00:00,136,,Administración
286,26,1,2023-02-03 00:00:00,83,,Estudiante
287,26,2,2023-02-10 00:00:00,83,,Estudiante
288,26,3,2023-02-14 00:00:00,83,,Administración
289,26,4,2023-02-27 00:00:00,83,,Administración
290,26,5,2023-03-13 00:00:00,83,Adjudicación a destino Erasmus,Administración
291,26,6,2023-04-02 00:00:00,83,Adjudicación a destino Erasmus,Administración
292,26,13,2023-04-16 00:00:00,83,Alegación sobre adjudicación,Estudiante
293,26,14,2023-05-05 00:00:00,83,Alegación sobre adjudicación,Administración
294,26,15,2023-05-29 00:00:00,83,,Estudiante
295,26,16,2023-06-22 00:00:00,83,,Administración
296,26,7,2023-07-05 00:00:00,83,,Estudiante
297,26,8,2023-07-17 00:00:00,83,,Estudiante
298,26,17,2023-08-13 00:00:00,83,,Estudiante
299,26,18,2023-09-06 00:00:00,83,,Administración
300,27,1,2023-01-14 00:00:00,85,,Estudiante
301,27,2,2023-01-20 00:00:00,85,,Estudiante
302,27,3,2023-01-23 00:00:00,85,,Administración
303,27,4,2023-02-07 00:00:00,85,,Administración
304,27,5,2023-02-16 00:00:00,85,Adjudicación a destino Erasmus,Administración
305,27,6,2023-02-27 00:00:00,85,Adjudicación a destino Erasmus,Administración
306,27,13,2023-03-10 00:00:00,85,Alegación sobre adjudicación,Estudiante
307,27,14,2023-03-26 00:00:00,85,Alegación sobre adjudicación,Administración
308,27,7,2023-04-08 00:00:00,85,,Estudiante
309,27,8,2023-04-19 00:00:00,85,,Estudiante
310,27,15,2023-05-13 00:00:00,85,,Estudiante
311,27,16,2023-06-03 00:00:00,85,,Administración
312,27,17,2023-06-24 00:00:00,85,,Estudiante
313,27,18,2023-07-18 00:00:00,85,,Administración
314,28,1,2023-02-03 00:00:00,246,,Estudiante
315,28,2,2023-02-08 00:00:00,246,,Estudiante
316,28,3,2023-02-11 00:00:00,246,,Administración
317,28,13,2023-02-23 00:00:00,246,Alegación sobre adjudicación,Estudiante
318,28,14,2023-03-05 00:00:00,246,Alegación sobre adjudicación,Administración
319,28,4,2023-03-13 00:00:00,246,,Administración
320,28,5,2023-03-22 00:00:00,246,Adjudicación a destino Erasmus,Administración
321,28,6,2023-04-08 00:00:00,246,Adjudicación a destino Erasmus,Administración
322,28,7,2023-04-24 00:00:00,246,,Estudiante
323,28,9,2023-05-08 00:00:00,246,Renuncia voluntaria,Estudiante
324,28,10,2023-05-28 00:00:00,246,Renuncia voluntaria,Estudiante
325,29,1,2023-01-21 00:00:00,120,,Estudiante
326,29,2,2023-01-28 00:00:00,120,,Estudiante
327,29,3,2023-02-02 00:00:00,120,,Administración
328,29,4,2023-02-14 00:00:00,120,,Administración
329,29,5,2023-02-27 00:00:00,120,Adjudicación a destino Erasmus,Administración
330,29,6,2023-03-17 00:00:00,120,Adjudicación a destino Erasmus,Administración
331,29,13,2023-04-06 00:00:00,120,Alegación sobre adjudicación,Estudiante
332,29,14,2023-04-22 00:00:00,120,Alegación sobre adjudicación,Administración
333,29,15,2023-05-20 00:00:00,120,,Estudiante
334,29,16,2023-06-09 00:00:00,120,,Administración
335,29,7,2023-06-23 00:00:00,120,,Estudiante
336,29,8,2023-07-11 00:00:00,120,,Estudiante
337,29,17,2023-08-01 00:00:00,120,,Estudiante
338,29,18,2023-08-30 00:00:00,120,,Administración
339,30,1,2023-01-27 00:00:00,183,,Estudiante
340,30,2,2023-01-31 00:00:00,183,,Estudiante
341,30,3,2023-02-05 00:00:00,183,,Administración
342,30,4,2023-02-14 00:00:00,183,,Administración
343,30,5,2023-03-01 00:00:00,183,Adjudicación a destino Erasmus,Administración
344,30,6,2023-03-20 00:00:00,183,Adjudicación a destino Erasmus,Administración
345,30,13,2023-04-07 00:00:00,183,Alegación sobre adjudicación,Estudiante
346,30,14,2023-04-22 00:00:00,183,Alegación sobre adjudicación,Administración
347,30,7,2023-05-12 00:00:00,183,,Estudiante
348,30,8,2023-05-31 00:00:00,183,,Estudiante
349,30,15,2023-06-23 00:00:00,183,,Estudiante
350,30,16,2023-07-14 00:00:00,183,,Administración
351,30,17,2023-08-12 00:00:00,183,,Estudiante
352,30,18,2023-09-06 00:00:00,183,,Administración
353,31,1,2023-02-03 00:00:00,262,,Estudiante
354,31,2,2023-02-07 00:00:00,262,,Estudiante
355,31,3,2023-02-12 00:00:00,262,,Administración
356,31,4,2023-02-22 00:00:00,262,,Administración
357,31,5,2023-03-08 00:00:00,262,Adjudicación a destino Erasmus,Administración
358,31,6,2023-03-24 00:00:00,262,Adjudicación a destino Erasmus,Administración
359,31,13,2023-04-13 00:00:00,262,Alegación sobre adjudicación,Estudiante
360,31,14,2023-04-26 00:00:00,262,Alegación sobre adjudicación,Administración
361,31,7,2023-05-13 00:00:00,262,,Estudiante
362,31,8,2023-06-02 00:00:00,262,,Estudiante
363,31,17,2023-06-23 00:00:00,262,,Estudiante
364,31,18,2023-07-15 00:00:00,262,,Administración
365,32,1,2023-01-18 00:00:00,15,,Estudiante
366,32,2,2023-01-21 00:00:00,15,,Estudiante
367,32,3,2023-01-28 00:00:00,15,,Administración
368,32,4,2023-02-09 00:00:00,15,,Administración
369,32,5,2023-02-17 00:00:00,15,Adjudicación a destino Erasmus,Administración
370,32,6,2023-02-28 00:00:00,15,Adjudicación a destino Erasmus,Administración
371,32,7,2023-03-12 00:00:00,15,,Estudiante
372,32,9,2023-03-23 00:00:00,15,Renuncia voluntaria,Estudiante
373,32,10,2023-04-06 00:00:00,15,Renuncia voluntaria,Estudiante
374,33,1,2023-01-28 00:00:00,121,,Estudiante
375,33,2,2023-02-03 00:00:00,121,,Estudiante
376,33,3,2023-02-10 00:00:00,121,,Administración
377,33,4,2023-02-22 00:00:00,121,,Administración
378,33,5,2023-03-01 00:00:00,121,Adjudicación a destino Erasmus,Administración
379,33,6,2023-03-14 00:00:00,121,Adjudicación a destino Erasmus,Administración
380,33,7,2023-03-27 00:00:00,121,,Estudiante
381,33,8,2023-04-13 00:00:00,121,,Estudiante
382,33,17,2023-05-08 00:00:00,121,,Estudiante
383,33,18,2023-06-02 00:00:00,121,,Administración
384,34,1,2023-01-26 00:00:00,141,,Estudiante
385,34,2,2023-01-29 00:00:00,141,,Estudiante
386,34,3,2023-02-01 00:00:00,141,,Administración
387,34,4,2023-02-12 00:00:00,141,,Administración
388,34,5,2023-02-22 00:00:00,141,Adjudicación a destino Erasmus,Administración
389,34,6,2023-03-10 00:00:00,141,Adjudicación a destino Erasmus,Administración
390,34,13,2023-03-20 00:00:00,141,Alegación sobre adjudicación,Estudiante
391,34,14,2023-04-08 00:00:00,141,Alegación sobre adjudicación,Administración
392,34,15,2023-05-02 00:00:00,141,,Estudiante
393,34,16,2023-05-27 00:00:00,141,,Administración
394,34,7,2023-06-10 00:00:00,141,,Estudiante
395,34,8,2023-06-25 00:00:00,141,,Estudiante
396,34,17,2023-07-17 00:00:00,141,,Estudiante
397,34,18,2023-08-07 00:00:00,141,,Administración
398,35,1,2023-01-19 00:00:00,94,,Estudiante
399,35,2,2023-01-22 00:00:00,94,,Estudiante
400,35,3,2023-01-27 00:00:00,94,,Administración
401,35,4,2023-02-07 00:00:00,94,,Administración
402,35,5,2023-02-14 00:00:00,94,Adjudicación a destino Erasmus,Administración
403,35,6,2023-03-02 00:00:00,94,Adjudicación a destino Erasmus,Administración
404,35,7,2023-03-15 00:00:00,94,,Estudiante
405,35,9,2023-04-03 00:00:00,94,Renuncia voluntaria,Estudiante
406,35,10,2023-04-19 00:00:00,94,Renuncia voluntaria,Estudiante
407,36,1,2023-01-28 00:00:00,290,,Estudiante
408,36,2,2023-02-01 00:00:00,290,,Estudiante
409,36,3,2023-02-08 00:00:00,290,,Administración
410,36,13,2023-02-27 00:00:00,290,Alegación sobre adjudicación,Estudiante
411,36,14,2023-03-12 00:00:00,290,Alegación sobre adjudicación,Administración
412,36,4,2023-03-20 00:00:00,290,,Administración
413,36,5,2023-04-04 00:00:00,290,Adjudicación a destino Erasmus,Administración
414,36,6,2023-04-17 00:00:00,290,Adjudicación a destino Erasmus,Administración
415,36,7,2023-05-01 00:00:00,290,,Estudiante
416,36,9,2023-05-20 00:00:00,290,Renuncia voluntaria,Estudiante
417,36,10,2023-06-07 00:00:00,290,Renuncia voluntaria,Estudiante
418,37,1,2023-01-21 00:00:00,77,,Estudiante
419,37,2,2023-01-26 00:00:00,77,,Estudiante
420,37,3,2023-01-29 00:00:00,77,,Administración
421,38,1,2023-01-26 00:00:00,135,,Estudiante
422,38,2,2023-02-01 00:00:00,135,,Estudiante
423,38,3,2023-02-05 00:00:00,135,,Administración
424,38,13,2023-02-17 00:00:00,135,Alegación sobre adjudicación,Estudiante
425,38,14,2023-03-04 00:00:00,135,Alegación sobre adjudicación,Administración
426,38,4,2023-03-18 00:00:00,135,,Administración
427,38,5,2023-03-31 00:00:00,135,Adjudicación a destino Erasmus,Administración
428,38,6,2023-04-19 00:00:00,135,Adjudicación a destino Erasmus,Administración
429,38,7,2023-05-09 00:00:00,135,,Estudiante
430,38,9,2023-05-22 00:00:00,135,Renuncia voluntaria,Estudiante
431,38,10,2023-06-09 00:00:00,135,Renuncia voluntaria,Estudiante
432,39,1,2023-02-04 00:00:00,175,,Estudiante
433,39,2,2023-02-08 00:00:00,175,,Estudiante
434,39,3,2023-02-12 00:00:00,175,,Administración
435,39,4,2023-02-26 00:00:00,175,,Administración
436,39,5,2023-03-12 00:00:00,175,Adjudicación a destino Erasmus,Administración
437,39,6,2023-03-23 00:00:00,175,Adjudicación a destino Erasmus,Administración
438,39,13,2023-04-10 00:00:00,175,Alegación sobre adjudicación,Estudiante
439,39,14,2023-04-23 00:00:00,175,Alegación sobre adjudicación,Administración
440,39,7,2023-05-07 00:00:00,175,,Estudiante
441,39,8,2023-05-23 00:00:00,175,,Estudiante
442,39,15,2023-06-15 00:00:00,175,,Estudiante
443,39,16,2023-07-06 00:00:00,175,,Administración
444,39,17,2023-07-30 00:00:00,175,,Estudiante
445,39,18,2023-08-23 00:00:00,175,,Administración
