DestinoID,NombreDestino,Ronda,PlazasTotales,PlazasDisponibles,NumTitulares,NumSuplentes,NumRenuncias,TotalCandidatos,TasaOcupacion,TasaRenuncia,Competitividad
12,Humboldt-Universität zu Berlin,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
12,Humboldt-Universität zu Berlin,Adjudicación Final,4,4,4,2,0,6,100.0,0.0,Media
13,Università degli Studi di Torino,1ª Adjudicación,3,3,3,3,0,6,100.0,0.0,Media
13,Università degli Studi di Torino,2ª Adjudicación,3,3,3,0,0,3,100.0,0.0,Baja
13,Università degli Studi di Torino,3ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
13,Università degli Studi di Torino,Adjudicación Final,3,3,3,2,0,5,100.0,0.0,Media
14,Université de Bordeaux,1ª Adjudicación,5,5,2,0,0,2,40.0,0.0,Baja
14,Université de Bordeaux,2ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
14,Université de Bordeaux,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
14,Université de Bordeaux,Adjudicación Final,5,5,1,0,0,1,20.0,0.0,Baja
15,Uniwersytet Gdański,1ª Adjudicación,3,3,3,7,1,10,100.0,33.33,Alta
15,Uniwersytet Gdański,2ª Adjudicación,3,3,4,6,0,10,133.33,0.0,Alta
15,Uniwersytet Gdański,3ª Adjudicación,3,3,3,4,0,7,100.0,0.0,Alta
15,Uniwersytet Gdański,Adjudicación Final,3,3,3,6,0,9,100.0,0.0,Alta
16,Rheinische Friedrich-Wilhelms-Universität Bonn,1ª Adjudicación,3,3,3,4,0,7,100.0,0.0,Alta
16,Rheinische Friedrich-Wilhelms-Universität Bonn,2ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
16,Rheinische Friedrich-Wilhelms-Universität Bonn,3ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
16,Rheinische Friedrich-Wilhelms-Universität Bonn,Adjudicación Final,3,3,3,2,0,5,100.0,0.0,Media
17,Università degli Studi di Padova,1ª Adjudicación,5,5,5,0,1,5,100.0,20.0,Baja
17,Università degli Studi di Padova,2ª Adjudicación,5,6,1,0,0,1,20.0,0.0,Baja
17,Università degli Studi di Padova,3ª Adjudicación,5,5,1,0,1,1,20.0,100.0,Baja
17,Università degli Studi di Padova,Adjudicación Final,5,6,4,0,0,4,80.0,0.0,Baja
18,Université de Montpellier,1ª Adjudicación,4,4,4,1,0,5,100.0,0.0,Media
18,Université de Montpellier,2ª Adjudicación,4,4,1,0,0,1,25.0,0.0,Baja
18,Université de Montpellier,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
18,Université de Montpellier,Adjudicación Final,4,4,4,0,0,4,100.0,0.0,Baja
19,Uniwersytet Mikołaja Kopernika,1ª Adjudicación,4,4,4,0,0,4,100.0,0.0,Baja
19,Uniwersytet Mikołaja Kopernika,2ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
19,Uniwersytet Mikołaja Kopernika,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
19,Uniwersytet Mikołaja Kopernika,Adjudicación Final,4,4,3,0,0,3,75.0,0.0,Baja
20,Ludwig-Maximilians-Universität München,1ª Adjudicación,5,5,2,0,0,2,40.0,0.0,Baja
20,Ludwig-Maximilians-Universität München,2ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
20,Ludwig-Maximilians-Universität München,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
20,Ludwig-Maximilians-Universität München,Adjudicación Final,5,5,2,0,0,2,40.0,0.0,Baja
21,Università degli Studi di Firenze,1ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
21,Università degli Studi di Firenze,2ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
21,Università degli Studi di Firenze,3ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
21,Università degli Studi di Firenze,Adjudicación Final,3,3,3,1,0,4,100.0,0.0,Media
22,Université de Nice Sophia Antipolis,1ª Adjudicación,5,5,5,1,0,6,100.0,0.0,Media
22,Université de Nice Sophia Antipolis,2ª Adjudicación,5,5,1,0,0,1,20.0,0.0,Baja
22,Université de Nice Sophia Antipolis,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
22,Université de Nice Sophia Antipolis,Adjudicación Final,5,5,5,1,0,6,100.0,0.0,Media
23,Uniwersytet Łódzki,1ª Adjudicación,5,5,5,0,1,5,100.0,20.0,Baja
23,Uniwersytet Łódzki,2ª Adjudicación,5,5,3,0,0,3,60.0,0.0,Baja
23,Uniwersytet Łódzki,3ª Adjudicación,5,5,1,0,0,1,20.0,0.0,Baja
23,Uniwersytet Łódzki,Adjudicación Final,5,5,5,0,0,5,100.0,0.0,Baja
24,Ruprecht-Karls-Universität Heidelberg,1ª Adjudicación,5,5,2,0,1,2,40.0,50.0,Baja
24,Ruprecht-Karls-Universität Heidelberg,2ª Adjudicación,5,6,1,0,0,1,20.0,0.0,Baja
24,Ruprecht-Karls-Universität Heidelberg,3ª Adjudicación,5,5,1,0,0,1,20.0,0.0,Baja
24,Ruprecht-Karls-Universität Heidelberg,Adjudicación Final,5,5,1,0,0,1,20.0,0.0,Baja
25,Università degli Studi di Pisa,1ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
25,Università degli Studi di Pisa,2ª Adjudicación,1,1,1,1,0,2,100.0,0.0,Media
25,Università degli Studi di Pisa,3ª Adjudicación,1,1,1,0,0,1,100.0,0.0,Baja
25,Università degli Studi di Pisa,Adjudicación Final,1,1,1,2,0,3,100.0,0.0,Alta
26,Université de Lille,1ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
26,Université de Lille,2ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
26,Université de Lille,3ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
26,Université de Lille,Adjudicación Final,1,1,1,4,0,5,100.0,0.0,Alta
27,Uniwersytet Poznański,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
27,Uniwersytet Poznański,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
27,Uniwersytet Poznański,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
27,Uniwersytet Poznański,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
28,Technische Universität Berlin,1ª Adjudicación,0,0,0,3,0,3,0.0,0.0,Alta
28,Technische Universität Berlin,2ª Adjudicación,0,0,0,3,0,3,0.0,0.0,Alta
28,Technische Universität Berlin,3ª Adjudicación,0,0,0,3,0,3,0.0,0.0,Alta
28,Technische Universität Berlin,Adjudicación Final,0,0,0,3,0,3,0.0,0.0,Alta
29,Università degli Studi di Palermo,1ª Adjudicación,1,1,1,6,0,7,100.0,0.0,Alta
29,Università degli Studi di Palermo,2ª Adjudicación,1,1,1,5,0,6,100.0,0.0,Alta
29,Università degli Studi di Palermo,3ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
29,Università degli Studi di Palermo,Adjudicación Final,1,1,1,4,0,5,100.0,0.0,Alta
30,Université de Nantes,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
30,Université de Nantes,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
30,Université de Nantes,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
30,Université de Nantes,Adjudicación Final,2,2,1,0,0,1,50.0,0.0,Baja
31,Uniwersytet Śląski,1ª Adjudicación,5,5,5,1,1,6,100.0,20.0,Media
31,Uniwersytet Śląski,2ª Adjudicación,5,5,4,0,0,4,80.0,0.0,Baja
31,Uniwersytet Śląski,3ª Adjudicación,5,5,1,0,0,1,20.0,0.0,Baja
31,Uniwersytet Śląski,Adjudicación Final,5,5,5,1,0,6,100.0,0.0,Media
32,Universität Hamburg,1ª Adjudicación,3,3,3,4,0,7,100.0,0.0,Alta
32,Universität Hamburg,2ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
32,Universität Hamburg,3ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
32,Universität Hamburg,Adjudicación Final,3,3,3,3,0,6,100.0,0.0,Media
33,Università degli Studi di Bologna,1ª Adjudicación,3,3,3,0,1,3,100.0,33.33,Baja
33,Università degli Studi di Bologna,2ª Adjudicación,3,3,3,0,1,3,100.0,33.33,Baja
33,Università degli Studi di Bologna,3ª Adjudicación,3,4,1,0,0,1,33.33,0.0,Baja
33,Università degli Studi di Bologna,Adjudicación Final,3,3,2,0,0,2,66.67,0.0,Baja
34,Université de Rennes 1,1ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
34,Université de Rennes 1,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
34,Université de Rennes 1,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
34,Université de Rennes 1,Adjudicación Final,2,2,0,0,0,0,0.0,0.0,Baja
35,Uniwersytet Marii Curie-Skłodowskiej,1ª Adjudicación,2,2,2,1,0,3,100.0,0.0,Media
35,Uniwersytet Marii Curie-Skłodowskiej,2ª Adjudicación,2,2,1,0,0,1,50.0,0.0,Baja
35,Uniwersytet Marii Curie-Skłodowskiej,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
35,Uniwersytet Marii Curie-Skłodowskiej,Adjudicación Final,2,2,2,1,0,3,100.0,0.0,Media
36,Universität Köln,1ª Adjudicación,2,2,2,6,0,8,100.0,0.0,Alta
36,Universität Köln,2ª Adjudicación,2,2,2,3,1,5,100.0,50.0,Alta
36,Universität Köln,3ª Adjudicación,2,2,3,3,0,6,150.0,0.0,Alta
36,Universität Köln,Adjudicación Final,2,2,2,5,0,7,100.0,0.0,Alta
37,Università degli Studi di Cagliari,1ª Adjudicación,3,3,3,0,0,3,100.0,0.0,Baja
37,Università degli Studi di Cagliari,2ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
37,Università degli Studi di Cagliari,3ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
37,Università degli Studi di Cagliari,Adjudicación Final,3,3,3,0,0,3,100.0,0.0,Baja
38,Université de Toulouse,1ª Adjudicación,3,3,3,0,1,3,100.0,33.33,Baja
38,Université de Toulouse,2ª Adjudicación,3,4,1,0,0,1,33.33,0.0,Baja
38,Université de Toulouse,3ª Adjudicación,3,3,1,0,1,1,33.33,100.0,Baja
38,Université de Toulouse,Adjudicación Final,3,4,2,0,0,2,66.67,0.0,Baja
39,Uniwersytet Adama Mickiewicza,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
39,Uniwersytet Adama Mickiewicza,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
39,Uniwersytet Adama Mickiewicza,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
39,Uniwersytet Adama Mickiewicza,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
40,Universität Frankfurt am Main,1ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
40,Universität Frankfurt am Main,2ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
40,Universität Frankfurt am Main,3ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
40,Universität Frankfurt am Main,Adjudicación Final,3,3,3,1,0,4,100.0,0.0,Media
41,Università degli Studi di Catania,1ª Adjudicación,5,5,5,1,0,6,100.0,0.0,Media
41,Università degli Studi di Catania,2ª Adjudicación,5,5,1,0,0,1,20.0,0.0,Baja
41,Università degli Studi di Catania,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
41,Università degli Studi di Catania,Adjudicación Final,5,5,4,0,0,4,80.0,0.0,Baja
42,Université de Rouen,1ª Adjudicación,0,0,0,6,0,6,0.0,0.0,Alta
42,Université de Rouen,2ª Adjudicación,0,0,0,6,0,6,0.0,0.0,Alta
42,Université de Rouen,3ª Adjudicación,0,0,0,6,0,6,0.0,0.0,Alta
42,Université de Rouen,Adjudicación Final,0,0,0,6,0,6,0.0,0.0,Alta
43,Uniwersytet Pedagogiczny w Krakowie,1ª Adjudicación,2,2,2,4,0,6,100.0,0.0,Alta
43,Uniwersytet Pedagogiczny w Krakowie,2ª Adjudicación,2,2,2,1,1,3,100.0,50.0,Media
43,Uniwersytet Pedagogiczny w Krakowie,3ª Adjudicación,2,2,3,1,0,4,150.0,0.0,Media
43,Uniwersytet Pedagogiczny w Krakowie,Adjudicación Final,2,2,2,3,0,5,100.0,0.0,Alta
44,Universität Stuttgart,1ª Adjudicación,1,1,1,7,0,8,100.0,0.0,Alta
44,Universität Stuttgart,2ª Adjudicación,1,1,1,6,0,7,100.0,0.0,Alta
44,Universität Stuttgart,3ª Adjudicación,1,1,1,5,0,6,100.0,0.0,Alta
44,Universität Stuttgart,Adjudicación Final,1,1,1,7,0,8,100.0,0.0,Alta
45,Università degli Studi di Salerno,1ª Adjudicación,4,4,4,4,0,8,100.0,0.0,Media
45,Università degli Studi di Salerno,2ª Adjudicación,4,4,4,0,0,4,100.0,0.0,Baja
45,Università degli Studi di Salerno,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
45,Università degli Studi di Salerno,Adjudicación Final,4,4,4,4,0,8,100.0,0.0,Media
46,Université de Reims Champagne-Ardenne,1ª Adjudicación,5,5,4,0,0,4,80.0,0.0,Baja
46,Université de Reims Champagne-Ardenne,2ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
46,Université de Reims Champagne-Ardenne,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
46,Université de Reims Champagne-Ardenne,Adjudicación Final,5,5,4,0,0,4,80.0,0.0,Baja
47,Uniwersytet Szczeciński,1ª Adjudicación,2,2,2,3,0,5,100.0,0.0,Alta
47,Uniwersytet Szczeciński,2ª Adjudicación,2,2,2,1,0,3,100.0,0.0,Media
47,Uniwersytet Szczeciński,3ª Adjudicación,2,2,1,0,0,1,50.0,0.0,Baja
47,Uniwersytet Szczeciński,Adjudicación Final,2,2,2,3,0,5,100.0,0.0,Alta
48,Universität Tübingen,1ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
48,Universität Tübingen,2ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
48,Universität Tübingen,3ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
48,Universität Tübingen,Adjudicación Final,1,1,1,3,0,4,100.0,0.0,Alta
49,Università degli Studi di Trieste,1ª Adjudicación,5,5,5,0,0,5,100.0,0.0,Baja
49,Università degli Studi di Trieste,2ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
49,Università degli Studi di Trieste,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
49,Università degli Studi di Trieste,Adjudicación Final,5,5,5,0,0,5,100.0,0.0,Baja
50,Université de Caen Normandie,1ª Adjudicación,3,3,3,5,0,8,100.0,0.0,Alta
50,Université de Caen Normandie,2ª Adjudicación,3,3,3,2,0,5,100.0,0.0,Media
50,Université de Caen Normandie,3ª Adjudicación,3,3,2,0,0,2,66.67,0.0,Baja
50,Université de Caen Normandie,Adjudicación Final,3,3,3,5,0,8,100.0,0.0,Alta
51,Uniwersytet Warmińsko-Mazurski,1ª Adjudicación,4,4,4,1,1,5,100.0,25.0,Media
51,Uniwersytet Warmińsko-Mazurski,2ª Adjudicación,4,4,4,0,0,4,100.0,0.0,Baja
51,Uniwersytet Warmińsko-Mazurski,3ª Adjudicación,4,4,1,0,0,1,25.0,0.0,Baja
51,Uniwersytet Warmińsko-Mazurski,Adjudicación Final,4,4,4,1,0,5,100.0,0.0,Media
52,Universität Leipzig,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
52,Universität Leipzig,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
52,Universität Leipzig,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
52,Universität Leipzig,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
53,Università degli Studi di Verona,1ª Adjudicación,2,2,2,4,1,6,100.0,50.0,Alta
53,Università degli Studi di Verona,2ª Adjudicación,2,2,3,4,0,7,150.0,0.0,Alta
53,Università degli Studi di Verona,3ª Adjudicación,2,2,2,2,1,4,100.0,50.0,Media
53,Università degli Studi di Verona,Adjudicación Final,2,2,3,2,0,5,150.0,0.0,Alta
54,Université de Picardie Jules Verne,1ª Adjudicación,5,5,5,0,0,5,100.0,0.0,Baja
54,Université de Picardie Jules Verne,2ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
54,Université de Picardie Jules Verne,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
54,Université de Picardie Jules Verne,Adjudicación Final,5,5,5,0,0,5,100.0,0.0,Baja
55,Uniwersytet Medyczny w Łodzi,1ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
55,Uniwersytet Medyczny w Łodzi,2ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
55,Uniwersytet Medyczny w Łodzi,3ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
55,Uniwersytet Medyczny w Łodzi,Adjudicación Final,0,0,0,5,0,5,0.0,0.0,Alta
56,Universität Mannheim,1ª Adjudicación,3,3,3,2,0,5,100.0,0.0,Media
56,Universität Mannheim,2ª Adjudicación,3,3,2,0,0,2,66.67,0.0,Baja
56,Universität Mannheim,3ª Adjudicación,3,3,0,0,0,0,0.0,0.0,Baja
56,Universität Mannheim,Adjudicación Final,3,3,3,1,0,4,100.0,0.0,Media
57,Università degli Studi di Siena,1ª Adjudicación,3,3,3,0,1,3,100.0,33.33,Baja
57,Università degli Studi di Siena,2ª Adjudicación,3,3,3,0,0,3,100.0,0.0,Baja
57,Università degli Studi di Siena,3ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
57,Università degli Studi di Siena,Adjudicación Final,3,3,3,0,0,3,100.0,0.0,Baja
58,Université de Savoie,1ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
58,Université de Savoie,2ª Adjudicación,1,1,1,1,0,2,100.0,0.0,Media
58,Université de Savoie,3ª Adjudicación,1,1,1,0,0,1,100.0,0.0,Baja
58,Université de Savoie,Adjudicación Final,1,1,1,2,0,3,100.0,0.0,Alta
59,Uniwersytet Przyrodniczy we Wrocławiu,1ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
59,Uniwersytet Przyrodniczy we Wrocławiu,2ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
59,Uniwersytet Przyrodniczy we Wrocławiu,3ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
59,Uniwersytet Przyrodniczy we Wrocławiu,Adjudicación Final,1,1,1,4,0,5,100.0,0.0,Alta
60,Universität Bremen,1ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
60,Universität Bremen,2ª Adjudicación,1,1,1,2,0,3,100.0,0.0,Alta
60,Universität Bremen,3ª Adjudicación,1,1,1,1,0,2,100.0,0.0,Media
60,Universität Bremen,Adjudicación Final,1,1,1,3,0,4,100.0,0.0,Alta
61,Università degli Studi di Perugia,1ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
61,Università degli Studi di Perugia,2ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
61,Università degli Studi di Perugia,3ª Adjudicación,0,0,0,5,0,5,0.0,0.0,Alta
61,Università degli Studi di Perugia,Adjudicación Final,0,0,0,2,0,2,0.0,0.0,Alta
62,Université de Franche-Comté,1ª Adjudicación,2,2,2,6,0,8,100.0,0.0,Alta
62,Université de Franche-Comté,2ª Adjudicación,2,2,2,4,0,6,100.0,0.0,Alta
62,Université de Franche-Comté,3ª Adjudicación,2,2,2,2,0,4,100.0,0.0,Media
62,Université de Franche-Comté,Adjudicación Final,2,2,2,5,0,7,100.0,0.0,Alta
63,Uniwersytet Technologiczno-Przyrodniczy,1ª Adjudicación,2,2,2,4,0,6,100.0,0.0,Alta
63,Uniwersytet Technologiczno-Przyrodniczy,2ª Adjudicación,2,2,2,2,0,4,100.0,0.0,Media
63,Uniwersytet Technologiczno-Przyrodniczy,3ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
63,Uniwersytet Technologiczno-Przyrodniczy,Adjudicación Final,2,2,2,3,0,5,100.0,0.0,Alta
64,Universität Duisburg-Essen,1ª Adjudicación,4,4,4,1,0,5,100.0,0.0,Media
64,Universität Duisburg-Essen,2ª Adjudicación,4,4,1,0,0,1,25.0,0.0,Baja
64,Universität Duisburg-Essen,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
64,Universität Duisburg-Essen,Adjudicación Final,4,4,4,0,0,4,100.0,0.0,Baja
65,Università degli Studi di Parma,1ª Adjudicación,4,4,3,0,0,3,75.0,0.0,Baja
65,Università degli Studi di Parma,2ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
65,Università degli Studi di Parma,3ª Adjudicación,4,4,0,0,0,0,0.0,0.0,Baja
65,Università degli Studi di Parma,Adjudicación Final,4,4,3,0,0,3,75.0,0.0,Baja
66,Université de Lorraine,1ª Adjudicación,5,5,5,2,0,7,100.0,0.0,Media
66,Université de Lorraine,2ª Adjudicación,5,5,2,0,0,2,40.0,0.0,Baja
66,Université de Lorraine,3ª Adjudicación,5,5,0,0,0,0,0.0,0.0,Baja
66,Université de Lorraine,Adjudicación Final,5,5,5,2,0,7,100.0,0.0,Media
67,Uniwersytet Rzeszowski,1ª Adjudicación,2,2,2,5,0,7,100.0,0.0,Alta
67,Uniwersytet Rzeszowski,2ª Adjudicación,2,2,2,3,0,5,100.0,0.0,Alta
67,Uniwersytet Rzeszowski,3ª Adjudicación,2,2,2,1,0,3,100.0,0.0,Media
67,Uniwersytet Rzeszowski,Adjudicación Final,2,2,2,5,0,7,100.0,0.0,Alta
68,Universität Regensburg,1ª Adjudicación,3,3,3,4,0,7,100.0,0.0,Alta
68,Universität Regensburg,2ª Adjudicación,3,3,3,1,0,4,100.0,0.0,Media
68,Universität Regensburg,3ª Adjudicación,3,3,1,0,0,1,33.33,0.0,Baja
68,Universität Regensburg,Adjudicación Final,3,3,3,2,0,5,100.0,0.0,Media
69,Università degli Studi di Genova,1ª Adjudicación,1,1,1,5,0,6,100.0,0.0,Alta
69,Università degli Studi di Genova,2ª Adjudicación,1,1,1,4,0,5,100.0,0.0,Alta
69,Università degli Studi di Genova,3ª Adjudicación,1,1,1,3,0,4,100.0,0.0,Alta
69,Università degli Studi di Genova,Adjudicación Final,1,1,1,4,0,5,100.0,0.0,Alta
70,Université de Bretagne Occidentale,1ª Adjudicación,2,2,2,0,0,2,100.0,0.0,Baja
70,Université de Bretagne Occidentale,2ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
70,Université de Bretagne Occidentale,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
70,Université de Bretagne Occidentale,Adjudicación Final,2,2,2,0,0,2,100.0,0.0,Baja
71,Uniwersytet Opolski,1ª Adjudicación,2,2,2,1,0,3,100.0,0.0,Media
71,Uniwersytet Opolski,2ª Adjudicación,2,2,1,0,0,1,50.0,0.0,Baja
71,Uniwersytet Opolski,3ª Adjudicación,2,2,0,0,0,0,0.0,0.0,Baja
